AASP Questions	Participant 3	Participant 4	Participant 5	Participant 6
GG_1	25	25	50	25
GG_2	10	25	25	10
GG_3	50	50	25	50
GG_4	10	25	50	25
GG_5	25	50	75	50
GG_6	10	10	25	25
GG_7	75	50	25	25
GG_8	50	25	50	25
GG_9	50	10	75	50
GG_10	25	50	50	75
GG_11	75	50	50	25
GG_12	25	10	50	50
GG_13	50	10	75	25
BB_14	50	25	25	75
BB_15	75	25	50	75
BB_16	25	10	10	50
BB_17	50	25	50	75
BB_18	25	10	25	10
BB_19	25	10	25	10
BB_20	50	10	75	50
BB_21	25	25	50	75
AA_22	25	25	25	25
AA_23	25	10	25	10
AA_24	90	75	90	90
AA_25	25	25	25	10
AA_26	90	75	90	75
AA_27	75	75	90	90
AA_28	25	10	10	10
AA_29	10	25	10	10
